link_height,news_about,news_add
NULL,"<p>\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""各單位與會同仁上課與老師互動與提問"" src=""/mno/upload/images/DSCN5735.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t各單位與會同仁上課與老師互動與提問</span></p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""崔局長課後贈與紀念品並與老師合影"" src=""/mno/upload/images/DSCN5741.jpg"" style=""width: 600px; height: 418px;"" /><br />\r\n\t崔局長課後贈與紀念品並與老師合影</span></p>\r\n<p>\r\n\t<span style=""font-size:18px;"">海軍大氣海洋局日前邀請國立中山大學亞太區域研究所郭育仁副教授蒞局實施「美日同盟的亞太戰略」課程講演，為使身為國軍的同仁能更了解對於亞洲地區國家周邊環境安全及因應詭譎多變的國際關係，並深入了解鄰國間的戰略方針，及如何隨著時間改變戰略，或從各國家合作關係中謀略對自己國家有利的做法。會前特邀海軍各單位同仁前來本局參加講演課程。演講過程中互動良好，頗受好評。</span></p>\r\n",2017-03-10 13:55:41
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""海軍大氣海洋局95週年慶祝大會海報"" src=""/mno/upload/images/1488956040952.JPEG"" style=""width: 600px; height: 849px;"" /><br />\r\n\t海軍大氣海洋局95週年慶祝大會海報</span></p>\r\n<p style=""text-align: center;"">\r\n\t\xa0</p>\r\n<div>\r\n\t<span style=""font-size:18px;"">106年4月21日(星期五)海軍大氣海洋局95週年慶祝大會行程：</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">0900-0930 \xa0恭迎，報到</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">0930-1030 \xa095週年慶祝大會</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">1030-1130 \xa0歷史回顧，靜態陳展</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">1130-1250 \xa0慶祝餐會</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">1250-1300 \xa0賦歸</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">誠摯邀請前輩與同袍團圓回娘家，一起對海軍大氣海洋局說：「95歲生日快樂！」</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">聯絡人：羅少校 \xa00921327758 lomifu0723@gmail.com</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0許少校 \xa00982515496 \xa0hisoka1211@gmail.com</span></div>\r\n<div>\r\n\t\xa0</div>\r\n<p>\r\n\t\xa0</p>\r\n",2017-03-10 13:58:55
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""於貴賓室接見海巡署北部地區巡防局宋子陽副局長等人拜會"" src=""/mno/upload/images/1.jpg"" style=""width: 600px; height: 450px;"" /><br />\r\n\t於貴賓室接見海巡署北部地區巡防局宋子陽副局長等人拜會</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""雙方相互交換禮品"" src=""/mno/upload/images/2.jpg"" style=""width: 600px; height: 450px;"" /><br />\r\n\t雙方相互交換禮品</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""隊史館中展示海岸線測量及釋放探空氣球模型"" src=""/mno/upload/images/3.jpg"" style=""width: 600px; height: 450px;"" /><br />\r\n\t隊史館中展示海岸線測量及釋放探空氣球模型</span></p>\r\n<p>\r\n\t<br />\r\n\t<span style=""font-size:18px;"">日前(106.02.24)海軍大氣海洋局副局長孫上校於貴賓室接見海巡署北部地區巡防局宋子陽副局長拜會，為協調世界海洋日暨海安演習展覽，討論本局參展項目內容。本局先後展示ECDIS商用電子海圖系統及隊史館內海岸線測量及釋放探空氣球模型供參考。</span><br />\r\n\t\xa0</p>\r\n",2017-03-16 10:56:49
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""局長蒞國立海洋科技大學海事資訊科技系演講"" src=""/mno/upload/images/1(1).jpg"" style=""width: 600px; height: 338px;"" /><br />\r\n\t局長蒞國立海洋科技大學海事資訊科技系演講</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""雙方交換禮品"" src=""/mno/upload/images/2(1).jpg"" style=""width: 600px; height: 338px;"" /><br />\r\n\t雙方交換禮品</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t\xa0</p>\r\n<div>\r\n\t<span style=""font-size:18px;"">日前(106.03.08)國立高雄海洋科技大學邀請局長崔上校及科長黃振堂中校，蒞該校海事資訊科技系演講及洽談計畫合作事宜，海事資訊科技系羅德章系主任演講後並頒發本局感謝函。</span></div>\r\n<div>\r\n\t\xa0</div>\r\n",2017-03-16 10:59:00
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""商討相關區域之海圖並討論海安操演區域水深測量之需求"" src=""/mno/upload/images/4.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t商討相關區域之海圖並討論海安操演區域水深測量之需求</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""提供相關區域之海圖參考"" src=""/mno/upload/images/5.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t提供相關區域之海圖參考</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t\xa0</p>\r\n<p>\r\n\t<span style=""font-size:18px;"">日前(106.03.10)局長崔上校率科長黃振堂中校、水文官蔡博安少校及測量官余宗翰中尉至海岸巡防署巡防處拜會後勤處許敬芝少將，會中討論海安操演區域水深測量之需求，後續提供相關區域之海圖以利操演順遂，並研討將海巡署測量需求未來納入本局年度測量計畫。</span></p>\r\n",2017-03-16 11:00:31
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""局長介紹本局業務及說明海圖內容說明會"" src=""/mno/upload/images/6(1).jpg"" style=""width: 600px; height: 338px;"" /><br />\r\n\t局長介紹本局業務及說明海圖內容說明會</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""贈送水保處處長葉俊榮先生本局紀念硬幣合影"" src=""/mno/upload/images/7.jpg"" style=""width: 600px; height: 338px;"" /><br />\r\n\t贈送水保處處長葉俊榮先生本局紀念硬幣合影</span><br />\r\n\t\xa0</p>\r\n<p>\r\n\t<span style=""font-size:18px;"">日前(106.03.10)局長崔上校率科長黃振堂中校、水文官蔡博安少校及測量官余宗翰中尉至環保署拜會水保處處長葉俊榮先生，會中介紹本局業務及說明海圖內容，達觀軍艦任務簡介，並商討後續本局與該署業務交流事宜。</span></p>\r\n",2017-03-16 11:01:57
NULL,"<p>\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""交通部中央氣象局張修武副局長(圖中間)進行開幕式致詞"" src=""/mno/upload/images/106-03-081.jpg"" style=""width: 600px; height: 339px;"" /></span></p>\r\n<div style=""text-align: center;"">\r\n\t<span style=""font-size:18px;"">交通部中央氣象局張修武副局長(圖中間)進行開幕式致詞</span></div>\r\n<div style=""text-align: center;"">\r\n\t\xa0</div>\r\n<p>\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""數值預報科科長林彥岑中校(圖右二)與中央氣象局人員交流"" src=""/mno/upload/images/106-03-082.jpg"" style=""width: 600px; height: 339px;"" /></span></p>\r\n<div style=""text-align: center;"">\r\n\t<span style=""font-size:18px;"">數值預報科科長林彥岑中校(圖右二)與中央氣象局人員交流</span><br />\r\n\t\xa0</div>\r\n<div>\r\n\t<span style=""font-size:18px;"">日前(106.03.08)海軍大氣海洋局數值預報科科長林彥岑中校率戰場資訊科水文預報官蔡博安少校至中央氣象局南區氣象中心參加106年度氣象防災資訊應用研討會，會中探討地震與防災及中央氣象局劇烈天氣監測系統(QPESUMS)之防災應用。</span></div>\r\n",2017-03-22 10:54:59
NULL,"<p>\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""國立台灣大學大氣科學系張智北教授進行特邀演講"" src=""/mno/upload/images/1國立台灣大學大氣科學系張智北教授進行特邀演講1.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t國立台灣大學大氣科學系張智北教授進行特邀演講</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""與理事長王寶貫主任及台灣大學大氣科學系劉廣英教授合影"" src=""/mno/upload/images/2與理事長王寶貫主任及台灣大學大氣科學系劉廣英教授合影.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t與理事長王寶貫主任及台灣大學大氣科學系劉廣英教授合影</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""副局長孫上校與科技部自然司吳俊傑司長合影"" src=""/mno/upload/images/3副局長孫永大上校與科技部自然司吳俊傑司長合影.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t副局長孫上校與科技部自然司吳俊傑司長合影</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""副局長孫上校與空軍氣象聯隊參謀長張文弘上校交流"" src=""/mno/upload/images/4副局長孫永大上校與空軍氣象聯隊參謀長張文弘上校交流.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t副局長孫上校與空軍氣象聯隊參謀長張文弘上校交流</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""副局長孫上校與中央氣象局主任研究員盧孟明會士及台灣颱洪中心李清勝主任交流"" src=""/mno/upload/images/5副局長孫永大上校與中央氣象局主任研究員盧孟明會士及台灣颱洪中心李清勝主任交流.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t副局長孫上校與中央氣象局主任研究員盧孟明會士及台灣颱洪中心李清勝主任交流</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""與中央氣象局主任研究員盧孟明會士合影"" src=""/mno/upload/images/6與中央氣象局主任研究員盧孟明會士合影.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t與中央氣象局主任研究員盧孟明會士合影</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""副局長孫上校與前中正理工學院應物系魏志憲老師交流"" src=""/mno/upload/images/7副局長孫永大上校與前中正理工學院應物系魏志憲老師交流.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t副局長孫上校與前中正理工學院應物系魏志憲老師交流</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""副局長孫上校與前空軍氣象聯隊楊忠權聯隊長交流"" src=""/mno/upload/images/8副局長孫永大上校與前空軍氣象聯隊楊忠權聯隊長交流.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t副局長孫上校與前空軍氣象聯隊楊忠權聯隊長交流</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""與中央大學大氣科學系劉千義老師合影"" src=""/mno/upload/images/9與中央大學大氣科學系劉千義老師合影.jpg"" style=""width: 600px; height: 339px;"" /><br />\r\n\t與中央大學大氣科學系劉千義老師合影</span><br />\r\n\t\xa0</p>\r\n<p>\r\n\t\xa0</p>\r\n<p>\r\n\t<span style=""font-size:18px;"">日前(106.03.17)海軍大氣海洋局副局長孫永大上校率水文官蔡博安少校至交通部中央氣象局國際會議廳參加中華民國氣象學會106年會員(代表)大會，此次年會議程特邀國立台灣大學大氣科學系張智北教授進行講演，並頒發會士證書、舉行學術論文頒獎儀式，亦安排了中華民國氣象學會議題座談會。</span></p>\r\n",2017-03-22 11:00:48
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""參觀美國研究船RV/Roger Revelle之主要實驗室"" src=""/mno/upload/images/1489984531846.jpg"" style=""width: 600px; height: 450px;"" /><br />\r\n\t參觀美國研究船R/V Roger Revelle之主要實驗室</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""參訪人員與艦長Chris Curl及首席科學家Louis St. Laurent合影"" src=""/mno/upload/images/1489984546865.jpg"" style=""width: 600px; height: 450px;"" /><br />\r\n\t參訪人員與艦長Chris Curl及首席科學家Dr.Luc Rainville合影</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""副局長孫上校贈送艦長Chris Curl本局筆記本及紀念硬幣"" src=""/mno/upload/images/1489984544620.jpg"" style=""width: 600px; height: 450px;"" /><br />\r\n\t副局長孫上校贈送艦長Chris Curl本局筆記本及紀念硬幣</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""贈送首席科家Louis St. Laurent本局筆記本及紀念硬幣"" src=""/mno/upload/images/1489984542477.jpg"" style=""width: 600px; height: 450px;"" /><br />\r\n\t贈送首席科家</span><span style=""font-size: 18px;"">Dr.Luc Rainville</span><span style=""font-size:18px;"">本局筆記本及紀念硬幣</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""參訪人員於科研船前合影"" src=""/mno/upload/images/1489998500927.jpg"" style=""width: 600px; height: 399px;"" /><br />\r\n\t參訪人員於科研船前合影</span><br />\r\n\t\xa0</p>\r\n<div>\r\n\t<span style=""font-size:18px;"">日前(106.03.20)國立台灣大學海研所楊穎堅老師邀請海軍同仁至高雄港10號碼頭參訪美國研究船R/V Roger Revelle，本局由副局長孫永大上校率水文官蔡博安少校前往參訪，受邀的還有海軍官校鍾育仁老師，海軍達觀軍艦艦長何政翰中校、輔導長曾慶軒少校、測量長李尚運少校及修護官朱桓瑜上尉。參訪過程中由艦長Chris Curl及首席科學家</span><span style=""font-size: 18px; text-align: center;"">Dr.Luc Rainville</span><span style=""font-size:18px;"">介紹該研究船之各艙間及實驗室。</span></div>\r\n<p>\r\n\t\xa0</p>\r\n<div>\r\n\t\xa0</div>\r\n",2017-03-22 11:07:50
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""106-03-13孫副局長主持105-1期專業軍官班部隊見習開訓典禮-1"" src=""/mno/upload/images/IMG_0005.JPG"" style=""width: 600px; height: 400px;"" /><br />\r\n\t圖1說明: 孫副局長主持105-1期專業軍官班部隊見習開訓典禮</span></p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""106-03-13孫副局長主持105-1期專業軍官班部隊見習開訓典禮合影"" src=""/mno/upload/images/IMG_0010.JPG"" style=""width: 600px; height: 400px;"" /><br />\r\n\t圖2說明:105-1期專業軍官班部隊見習開訓典禮合影</span></p>\r\n<p>\r\n\t\xa0</p>\r\n<p>\r\n\t<span style=""font-size:18px;"">副局長孫上校日前主持105-1期專業軍官班部隊見習開訓典禮，期勉見習人員要保持一顆積極進取的心，把握任何學習的機會，提升自我本質學能，以成為優秀的軍官為目標。</span></p>\r\n",2017-03-30 10:05:39
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""資訊安全"" src=""/mno/upload/images/DSCN5965_1.png"" style=""width: 600px; height: 450px;"" /><br />\r\n\t圖1說明: 副局長孫上校於資通安全教育訓練課後總結</span></p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""VR"" src=""/mno/upload/images/VR.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t圖2說明:106年上半年通信安全教育訓練</span></p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""通信"" src=""/mno/upload/images/通信.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t圖3說明:介紹科技新知(VR)</span></p>\r\n<p>\r\n\t<span style=""font-size:18px;"">為落實資安管控，強化官兵各項資訊安全意識，海軍大氣海洋局日前(106.03.23)舉辦106年第1季資訊安全暨通信安全教育訓練，課程內容包括上級近期資訊安全宣導、通信安全宣導及科技新知(VR)介紹，資安長(副局長孫上校)於課後總結表示，本局同仁應確遵相關規定，建立良好的資安觀念，以防杜資安違規事件肇生。</span></p>\r\n",2017-03-30 10:22:54
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""局長崔上校與3月份壽星一同切蛋糕"" src=""/mno/upload/images/IMG_1667.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t局長崔上校與3月份壽星一同切蛋糕</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""局長崔上校率各科科長敬茶致意"" src=""/mno/upload/images/IMG_1686.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t局長崔上校率各科科長敬茶致意</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""副局長孫上校向各位同仁敬茶致意"" src=""/mno/upload/images/IMG_1704.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t副局長孫上校向各位同仁敬茶致意</span><br />\r\n\t\xa0</p>\r\n<div>\r\n\t<span style=""font-size:18px;"">為慰勞官兵辛勞，凝聚部隊向心，海軍大氣海洋局日前假農湖海產餐廳辦理3月份慶生餐會，由局長崔上校主持，官兵計100餘員參加。</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">首先，崔局長對全體官兵日前執行氣象測量技勤競賽表示嘉勉與肯定。隨後，崔局長率領全體官兵齊唱生日快樂歌，祝福壽星人員，並與渠等共同許願、吹蠟燭、切蛋糕，並致贈生日禮品，場面溫馨歡愉。席間，崔局長並偕副局長孫上校及各科科長一一與官兵敬茶致意、寒暄問候。</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">最後，崔局長再度期勉全體官兵賡續戮力本務工作，同時克盡職守，在本局既有優良傳統下、共同爭取單位最高榮譽，再創新猷佳績。</span></div>\r\n<div>\r\n\t\xa0</div>\r\n",2017-03-31 15:33:49
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""局長崔上校主持清明節連續假期擴大離營宣教"" src=""/mno/upload/images/IMG_1746(1).JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t局長崔上校主持清明節連續假期擴大離營宣教</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""同仁認真聆聽局長崔上校叮嚀"" src=""/mno/upload/images/IMG_1766.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t同仁認真聆聽局長崔上校叮嚀</span><br />\r\n\t\xa0</p>\r\n<div>\r\n\t<span style=""font-size:18px;"">\xa0 \xa0 海軍大氣海洋局日前實施清明節連續假期擴大離營教育，由局長崔上校主持，官兵同仁計一百餘員參加。</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">　崔局長首先針對近期軍紀重點及自傷案例實施宣教，強化官兵同仁法紀與懲處觀念。隨後，崔局長並提出六項重要指示，要求全體官兵同仁務必遵行：一、防範酒後駕車，注意行車安全；二、切忌沾染毒品，落實尿液篩檢；三、慎防誘惑詐騙，避免不當借貸；四、強化家屬聯繫，依時安全回報；五、重視兩性關係，勿涉不良場所。六、切忌深夜遊蕩，慎防鬥毆事件。</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">　最後，崔局長再次期勉官兵同仁應妥善規劃假期，從事正當休閒活動，「快快樂樂休假，平平安安返營」，期達「零傷損、零違紀、零違法」之目標。</span></div>\r\n<div>\r\n\t\xa0</div>\r\n",2017-03-31 15:38:34
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""司令黃上將與局長崔上校合影"" src=""/mno/upload/images/局長照片.png"" style=""width: 600px; height: 400px;"" /><br />\r\n\t司令黃上將與局長崔上校合影</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""本局參加政府服務品質獎評選獲頒國防部獎狀，單位同仁與有榮焉"" src=""/mno/upload/images/IMG_2182.JPG"" style=""width: 600px; height: 800px;"" /><br />\r\n\t本局參加政府服務品質獎評選獲頒國防部獎狀，單位同仁與有榮焉</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""獲頒國防部獎狀，單位同仁與有榮焉"" src=""/mno/upload/images/IMG_2179.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t本局參加政府服務品質獎評選獲頒國防部獎狀，單位同仁與有榮焉</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""單位同仁與有榮焉"" src=""/mno/upload/images/IMG_2174.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t本局參加政府服務品質獎評選獲頒國防部獎狀，單位同仁與有榮焉</span><br />\r\n\t\xa0</p>\r\n<div>\r\n\t<span style=""font-size:18px;"">司令黃上將日前頒發政府服務品質獎國防部獎狀，由局長崔上校代表單位接受表揚。</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">本局105年度獲國防部評選為績優單位，薦報參加行政院第九屆政府服務品質獎評選。因本次獲國防部薦報，全體同仁對於工作上獲得肯定同感喜悅，也期許來年能於工作上持續精進。</span></div>\r\n",2017-03-31 15:57:27
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""電子上兵陳柔心"" src=""/mno/upload/images/IMG_1772.JPG"" style=""width: 600px; height: 450px;"" /><br />\r\n\t電子上兵陳柔心</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""電子上兵陳柔心參加105年全民運動會勇奪柔術冠軍"" src=""/mno/upload/images/電子上兵陳柔心-1.jpg"" style=""width: 600px; height: 450px;"" /><br />\r\n\t電子上兵陳柔心參加105年全民運動會勇奪柔術冠軍</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""電子上兵陳柔心與李政達教練合影"" src=""/mno/upload/images/電子上兵陳柔心-3.jpg"" style=""width: 600px; height: 450px;"" /><br />\r\n\t電子上兵陳柔心與李政達教練合影</span><br />\r\n\t\xa0</p>\r\n<div>\r\n\t<span style=""font-size: 18px;"">筆者：政戰官謝定緯少校</span></div>\r\n<div>\r\n\t\xa0</div>\r\n<div>\r\n\t<span style=""font-size:18px;"">\xa0 \xa0 「巾幗不讓鬚眉」是讚揚女性從軍報國的最佳寫照，而能夠擁有與男性並駕齊驅，甚至超越男性的優異體能，細數國軍當中更是屈指可數，有幸服務於大氣海洋局的我，便親眼見識到何謂柔道必殺技「大外割」與「十字關節技」的威力，更重要的，那是從一位女性同仁身上所施展的獨門絕招。</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">\xa0 初次見到柔心，是在局裡的籃球場上，打球已頗有資歷的我，還是第一次見到能與我們這群「老球皮」跑快攻、搶籃板、比準頭的「女球咖」！厲害的是，她札實流暢的基本動作與急停跳投，連號稱大氣「喬丹」的我都自嘆弗如！打聽之下，有眼不識「女泰山」的我，才知道原來是和一位幾乎十項全能的「女力」在同場競技！</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">\xa0 \xa0 \xa0 擁有一半「Amis」優良血統的柔心，生長在一個充滿歡笑與和樂的幸福家庭，在父母自由開明的教導下，家中排行老么的她，國中時即學會獨立自主，並能與姐姐共同分擔照顧二位弟弟的重任，孝順的她，更常在課餘時間，主動到工地協助父親完成諸多負荷吃重的工作，也正因此造就了她過人的體力與耐力。</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">\xa0 國中時正值叛逆期的她，猶如過動兒般有著用不完的活力與精力，「三過『校』門而不入」、「翻臉嗆聲『釘孤支』」都是家常便飯，每當下課鐘聲響起，就是至訓導處「還債」的面壁時刻。而就在「伯樂」李政達教練慧眼識英雄的引薦下，這位曾經桀傲不遜的迷濛少女，自此踏上了柔術征途，內心充滿熱血的鬥士魂也就此完全釋放，100年全國柔道中正盃女子社會甲組銅牌、100年全國大專院校女子公開組銅牌、101年全民運動會女子柔術寢技銀牌、103年全民運動會女子柔術對打金牌及105年全民運動會女子柔術對打金牌，無數榮耀加身的她，不僅找到努力的方向，更對自我充滿了自信與肯定。</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">\xa0 \xa0 \xa0 知恩圖報的柔心始終不曾忘懷栽培自己成長的母校，因此在大學畢業後選擇回到了五甲國中帶領與她志同道合的學弟妹們一起為柔道隊爭光，然而，迫於無奈的現實環境，她不時地思考如何減輕父母的壓力與負擔，因緣際會下，她的目光被海軍蔚藍的大巴士上偌大的「加入國軍，開啟不凡人生」廣告所深深吸引，透過國軍人才招募中心詳細的說明後，她發現從軍似乎是為她量身打造的首選志業，在獲得家人共同的支持下，她便毅然投筆從戎，加入大氣海洋局的行列。擔任裝備保養小組組員的她，雖與入伍前所學大相逕庭，然而在轉換跑道後，不僅擁有穩定的收入分擔家計，更獲得單位的鼎力支持與協助，使她有更充裕的時間自我鍛鍊，體能狀態亦更勝以往。</span></div>\r\n<div>\r\n\t<span style=""font-size:18px;"">\xa0 \xa0 \xa0甫榮獲我國103及105年全民運動會女子柔術對打金牌二連霸的柔心說：「我雖不是最聰明的人，但我卻可以自豪的說，我是用九十九分的努力加上一分的天賦去達成我所冀望的目標，更相信加入國軍真的能築夢踏實，不同凡響！」</span></div>\r\n",2017-03-31 16:00:56
NULL,"<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""孫副局長頒發本局紀念幣一枚"" src=""/mno/upload/images/IMG_1527.JPG"" style=""width: 600px; height: 400px;"" /><br />\r\n\t孫副局長頒發本局紀念幣一枚</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""孫副局長主持106年上半年災害防救教育宣導，期勉同仁建立防災共識與機制，加強防災措施應變作為"" src=""/mno/upload/images/IMG_1507.JPG"" style=""width: 600px; height: 400px;"" /><br />\r\n\t孫副局長主持106年上半年災害防救教育宣導，期勉同仁建立防災共識與機制，加強防災措施應變作為</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""本局同仁進行過期滅火器滅火實作"" src=""/mno/upload/images/IMG_1569.JPG"" style=""width: 600px; height: 400px;"" /><br />\r\n\t本局同仁進行過期滅火器滅火實作</span><br />\r\n\t\xa0</p>\r\n<p style=""text-align: center;"">\r\n\t<span style=""font-size:18px;""><img alt=""台灣安全保護協會專業講師林建宸先生親自示範防火面罩使用方法及注意事項"" src=""/mno/upload/images/IMG_1601.JPG"" style=""width: 600px; height: 400px;"" /><br />\r\n\t台灣安全保護協會專業講師林建宸先生親自示範防火面罩使用方法及注意事項</span><br />\r\n\t\xa0</p>\r\n<p>\r\n\t<span style=""font-size:18px;"">副局長孫上校日前主持106年上半年災害防救教育宣導，邀請台灣安全保護協會專業講師林建宸先生實施宣導，建立防災共識與機制，加強防災措施應變作為，以提升本局軍士官兵災害防制觀念。</span></p>\r\n<p>\r\n\t\xa0</p>\r\n",2017-04-13 17:27:20
